sample	total tags	dedup tags	redundant rate	num peaks
ATAC188_CB_FR062.1_ND_sB	18991194	18991171	0.0	59252
ATAC088_CB_FR028.1_CVID_sB	17836242	17836226	0.0	44189
ATAC111_CB_FR036.1_NFKB1_sB	19705624	19705610	0.0	43977
ATAC212_CB_FR071.1_CVID_sB	16243923	16243902	0.0	55283
ATAC308_BG_FR105.1_CTLA4_sB	9680270	9680246	0.0	8976
ATAC179_CB_FR059.1_TACI_sB	18654768	18654738	0.0	48701
ATAC270_CB_FR090.1_CVID_sB	17250067	17250045	0.0	40648
ATAC128_CB_FR042.1_CVID_sB	19119049	19119030	0.0	71333
ATAC251_CB_FR083.1_CVID_sB	16833617	16833595	0.0	79433
ATAC295_BG_FR100.1_NFKB1_sB	12010380	12010356	0.0	43646
ATAC158_CB_FR052.1_ND_sB	19536390	19536370	0.0	51594
ATAC215_CB_FR072.1_ADA2_sB	19533834	19533801	0.0	46934
ATAC055_CB_FR016.1_CTLA4_sB	17822273	17822249	0.0	84598
ATAC170_CB_FR056.1_CVID_sB	19244344	19244312	0.0	48499
ATAC091_CB_FR029.1_TACI_sB	22815596	22815569	0.0	40417
ATAC137_CB_FR045.1_ND_sB	19206090	19206059	0.0	51622
ATAC097_CB_FR031.1_CTLA4_sB	21331205	21331177	0.0	28319
ATAC117_CB_FR038.1_TACI_sB	18264362	18264347	0.0	32024
ATAC203_CB_FR068.1_CVID_sB	22040225	22040199	0.0	56710
ATAC230_CB_FR077.1_CVID_sB	15253244	15253219	0.0	59470
ATAC149_CB_FR049.1_ND_sB	19983765	19983747	0.0	46194
ATAC182_CB_FR060.1_HIES_sB	18596975	18596955	0.0	57557
ATAC317_BG_FR108.1_CTLA4_sB	17982971	17982951	0.0	31372
ATAC077_CB_FR024.1_CVID_sB	14337428	14337401	0.0	49826
ATAC082_CB_FR026.1_CTLA4_sB	12959818	12959792	0.0	37355
ATAC301_BG_FR102.1_NFKB1_sB	14629397	14629380	0.0	48583
ATAC033_CB_FR008.1_CTLA4_sB	19321917	19321894	0.0	4682
ATAC100_CB_FR032.1_NFKB2_sB	14999849	14999825	0.0	37020
ATAC176_CB_FR058.1_ND_sB	21051264	21051239	0.0	50074
ATAC248_CB_FR082.1_TACI_sB	20959335	20959306	0.0	62832
ATAC102_CB_FR033.1_NFKB2_sB	15709236	15709216	0.0	39297
ATAC131_CB_FR043.1_ADA2_sB	15234495	15234477	0.0	63332
ATAC245_CB_FR081.1_ND_sB	22538368	22538351	0.0	43656
ATAC058_CB_FR017.1_CVID_sB	22187384	22187357	0.0	70014
ATAC152_CB_FR050.1_ND_sB	17966804	17966780	0.0	55952
ATAC074_CB_FR023.1_NFKB1_sB	17037728	17037701	0.0	39377
ATAC063_CB_FR019.1_TACI_sB	25158066	25158048	0.0	70297
ATAC239_CB_FR079.1_ND_sB	22177981	22177957	0.0	43987
ATAC279_BG_FR094.1_LRBA_sB	14315065	14315037	0.0	66947
ATAC134_CB_FR044.1_TACI_sB	19201315	19201286	0.0	61270
ATAC256_CB_FR085.1_CTLA4_sB	18249137	18249111	0.0	77424
ATAC155_CB_FR051.1_ND_sB	21932024	21932006	0.0	60310
ATAC173_CB_FR057.1_HypoG_sB	19597968	19597952	0.0	51647
ATAC030_CB_FR007.1_CTLA4_sB	17207733	17207708	0.0	48529
ATAC052_CB_FR015.1_CVID_sB	21725155	21725135	0.0	63400
ATAC146_CB_FR048.1_ND_sB	15884090	15884067	0.0	37573
ATAC206_CB_FR069.1_ND_sB	14876475	14876454	0.0	46793
ATAC108_CB_FR035.1_NFKB2_sB	14668534	14668506	0.0	24400
ATAC094_CB_FR030.1_CVID_sB	15275497	15275475	0.0	50008
ATAC143_CB_FR047.1_ND_sB	17413875	17413849	0.0	51866
ATAC140_CB_FR046.1_ND_sB	20835035	20835013	0.0	53412
ATAC194_CB_FR064.1_ND_sB	18073016	18072994	0.0	51835
ATAC250_CB_FR083.1_CVID_M	15501972	15501953	0.0	52641
ATAC209_CB_FR070.1_ADA2_sB	16112564	16112543	0.0	53875
ATAC123_CB_FR040.1_ND_sB	14896989	14896974	0.0	33891
ATAC164_CB_FR054.1_CVID_sB	18563351	18563322	0.0	55148
ATAC024_CB_FR005.1_NFKB1_sB	11010288	11010271	0.0	8761
ATAC071_CB_FR022.1_TACI_sB	25174701	25174665	0.0	50452
ATAC320_BG_FR109.1_TACI_sB	19763349	19763328	0.0	37054
ATAC304_BG_FR103.1_NFKB1_sB	18355560	18355536	0.0	58960
ATAC236_CB_FR078.1_TACI_sB	18336608	18336585	0.0	43909
ATAC267_CB_FR089.1_CVID_sB	30804555	30804533	0.0	55072
ATAC167_CB_FR055.1_CTLA4_sB	19798497	19798475	0.0	40398
ATAC027_CB_FR006.1_TACI_sB	23363005	23362986	0.0	35658
ATAC191_CB_FR063.1_ND_sB	17722219	17722189	0.0	50636
ATAC085_CB_FR027.1_CTLA4_sB	18957420	18957391	0.0	43821
ATAC273_CB_FR091.1_HIES_sB	14728183	14728162	0.0	56277
ATAC105_CB_FR034.1_NFKB2_sB	17834463	17834446	0.0	31137
ATAC298_BG_FR101.1_NFKB1_sB	16946704	16946677	0.0	60295
ATAC242_CB_FR080.1_CVID_sB	20520727	20520698	0.0	51440
ATAC185_CB_FR061.1_ND_sB	19139920	19139895	0.0	52793
ATAC224_CB_FR075.1_ND_sB	17498643	17498622	0.0	52566
ATAC218_CB_FR073.1_CVID_sB	20575433	20575411	0.0	65016
ATAC247_CB_FR082.1_TACI_M	18708151	18708126	0.0	61438
